# No.	Zi	Source	IDC	Component A	Component B, or
# No.	Zi	Source	Single	IDC	Component.
# See `docs/lintelstat.py` for more details.
1	丁	GHTJKPV	⿱	一	亅
2	丂	GTJ	⿱	一	㇉
4	丄	GHTJ	⿱	丨	一
4	丄	X	㇯	上	一
5	丅	GTJ	⿱	一	丨
5	丅	X	㇯	下	丶
6	丆	GK	⿱	一	丿
6	丆	X	⿱	一	㇒
7	万	GHTJKPV	⿸	丆	𠃌
10	上	GHTJKPV	⿱	⺊	一
11	下	GHTJKPV	⿱	一	卜
14	与	GHTKV	⿹	？	一
18	丒	GT	⿱	刃	一
20	且	GHTJKPV	⿴	𠀃	𠄠
21	丕	GHTJKPV	⿱	不	一
24	丘	X	⿷	𠀉	丨
25	丙	GHTJKPV	⿱	一	内
27	丛	G	⿱	从	一
30	丞	GHTJKPV	⿱	氶	一
31	丟	GHTJK	⿱	一	去
31	丟	X	⿱	王	厶
32	丠	GT	⿱	北	一
34	丢	GTPV	⿱	㇒	去
37	严	G	⿱	亚	丿
38	並	GHTJKP	⿱	䒑	业
41	丩	GTJP	⿰	𠄌	丨
42	个	GHTJKPV	⿱	𠆢	丨
43	丫	GHTJKPV	⿱	丷	丨
44	丬	GHJ	⿰	冫	丨
46	丮	GHTJKP	⿹	⺄	𰀁
53	丵	GTJP	⿱	业	𢆉
55	丷	GHK	⿰	丶	㇒
56	丸	HT	⿵	九	丶
59	主	GHTJKPV	⿱	丶	王
59	主	X	⿱	亠	土
60	丼	GHTJKP	⿴	井	丶
62	举	G	⿱	兴	𰀁
67	乃	GHTJKPV	⿹	𠄎	丿
71	乇	GKP	⿱	㇒	七
72	么	GHTJKP	⿱	㇒	厶
73	义	GHTKP	⿶	乂	丶
74	乊	GK	⿱	㇒	丷
75	之	GHTJKPV	⿱	丶	？
76	乌	G	㇯	鸟	丶
79	乏	GHTJKPV	⿱	㇒	之
80	乐	X	⿱	𠂆	朩
82	乒	GHTK	⿱	丘	㇒
82	乒	X	㇯	兵	丶
83	乓	GHTK	⿱	丘	丶
83	乓	X	㇯	兵	㇒
94	乞	GHTJKPV	⿱	𠂉	乙
96	习	G	⿹	𠃌	冫
98	乢	GTJ	⿰	山	乚
99	乣	GTJKP	⿰	幺	乚
100	乤	GKP	⿱	下	乙
101	乥	GK	⿱	乊	乙
103	乧	GKP	⿱	斗	乙
104	乨	GTJ	⿰	台	乚
105	乩	GHTJKP	⿰	占	乚
106	乪	GHT	⿺	乙	田
107	乫	GKP	⿱	加	乙
108	乬	GKP	⿱	巨	乙
109	乭	GKP	⿱	石	乙
110	乮	GKP	⿱	卯	乙
111	乯	GK	⿱	乎	乙
112	买	G	⿱	乛	头
113	乱	GTJKPV	⿰	舌	乚
114	乲	GKP	⿱	次	乙
115	乳	GHTJKPV	⿰	孚	乚
116	乴	GTJ	⿱	折	乙
117	乵	GTJ	⿰	辛	乚
118	乶	GKP	⿱	甫	乙
119	乷	GKP	⿱	沙	乙
120	乸	GHM	⿺	也	母
121	乹	GTJKP	⿰	𠦝	乚
122	乺	GKP	⿱	所	乙
123	乻	GKP	⿱	於	乙
124	乼	GKP	⿱	注	乙
125	乽	GKP	⿱	者	乙
126	乾	GHTJKPV	⿰	𠦝	乞
128	亀	GHTJKP	⿱	⺈	？
130	亂	GHTJKPV	⿰	𤔔	乚
131	亃	GHTKP	⿰	粦	乚
132	亄	GHTKP	⿰	壹	乚
134	了	GHTJKPV	⿱	乛	亅
135	亇	T	⿱	𠂉	亅
136	予	GHTJKPV	⿱	龴	𠄐
141	亍	GHTJKPV	⿱	一	丁
142	于	GHTJKPV	⿱	一	𬺰
143	亏	GTKP	⿱	一	丂
144	亐	GK	⿱	一	𠀁
145	云	GHTJKPV	⿱	二	厶
146	互	GHTJKPV	⿱	一	彑
147	亓	GHTK	⿱	一	丌
148	五	GHTJKPV	⿱	一	𫝀
150	亖	GMTJ	⿱	二	二
151	亗	GTJP	⿱	山	二
152	亘	GHTJKP	⿱	一	旦
154	亚	GH	⿱	一	业
155	些	GHTJKPV	⿱	此	二
157	亝	GTJP	⿱	厽	二
158	亞	GHTJKPV	⿱	？	一
160	亠	GHTKP	⿱	丶	一
160	亠	J[K]	⿱	丨	一
161	亡	GPV	⿱	亠	𠃊
161	亡	HTJK	⿱	亠	㇄
162	亢	GHTJKPV	⿱	亠	几
163	亣	GHT	⿱	丶	丌
164	交	GHTJKPV	⿱	亠	父
165	亥	GHTJKPV	⿱	丶	𠀔
169	亩	G	⿱	亠	田
170	亪	G	⿱	亦	乁
171	享	X	⿱	亠	𠯂
172	京	GHTJKPV	⿱	亠	𱒃
173	亭	GHTJKPV	⿱	？	丁
174	亮	G	⿱	？	几
174	亮	HTJKP	⿱	？	儿
175	亯	GTJP	⿱	亠	𠯭
176	亰	GTJKP	⿱	𣅀	小
176	亰	X	⿱	亠	𣌢
177	亱	GTP	⿱	亠	但
178	亲	GTP	⿱	立	木
179	亳	GHTJKP	⿱	？	乇
182	亶	GHTJKP	⿱	㐭	旦
184	亸	G	⿰	享	单
185	亹	GHTJKP	⿱	亠	舋
187	亻	GHJK	⿱	㇒	丨
188	亼	GHTJ	⿱	𠆢	一
188	亼	Z	⿱	人	一
189	亽	GK	⿱	𠆢	丶
190	亾	GT	⿺	𠃊	人
191	亿	GH	⿰	亻	乙
192	什	GHTJKPV	⿰	亻	十
193	仁	GHTJKPV	⿰	亻	二
194	仂	GHTJKP	⿰	亻	力
195	仃	GHTJKPV	⿰	亻	丁
196	仄	GHTJKPV	⿸	厂	人
197	仅	GTP	⿰	亻	又
198	仆	GHTJKPV	⿰	亻	卜
199	仇	GHTJKPV	⿰	亻	九
200	仈	GHTJP	⿰	亻	八
201	仉	GHTKPV	⿰	亻	几
202	今	HTJKPV[S]	⿱	？	乛
204	仌	GT	⿱	人	人
204	仌	X	⿱	𠆢	𠆢
205	仍	GHTJKPV	⿰	亻	乃
206	从	GHTJKP	⿰	人	人
207	仏	GTJKP	⿰	亻	厶
208	仐	GTJ	⿱	𠆢	十
209	仑	G	⿱	𠆢	匕
210	仒	GK	⿱	𠆢	⺀
211	仓	G	⿱	𠆢	㔾
212	仔	GHTJKPV	⿰	亻	子
213	仕	GHTJKPV	⿰	亻	士
214	他	GHTJKPV	⿰	亻	也
215	仗	GHTJKPV	⿰	亻	丈
216	付	GHTJKPV	⿰	亻	寸
217	仙	GHTJKPV	⿰	亻	山
218	仚	GHTJKP	⿱	𠆢	山
219	仛	GTJK	⿰	亻	乇
220	仜	GHTKP	⿰	亻	工
221	仝	GHTJKPV	⿱	𠆢	工
222	仞	GHTJKPV	⿰	亻	刃
223	仟	GHTJKP	⿰	亻	千
224	仠	GTJKP	⿰	亻	干
225	仡	GHTJKP	⿰	亻	乞
226	仢	GTJP	⿰	亻	勺
227	代	GHTJKPV	⿰	亻	弋
228	令	H[M]TPV	⿱	？	龴
228	令	JK[S]	⿱	？	𰆊
230	仦	GT	⿰	亻	小
231	仧	G	⿱	上	𠆢
231	仧	T	⿱	上	人
232	仨	GHTJK	⿰	亻	三
233	仩	GHT	⿰	亻	上
234	仪	GH	⿰	亻	义
235	仫	GHJ	⿰	亻	么
236	们	G	⿰	亻	门
237	仭	GJK	⿰	亻	刄
238	仮	GHTJK	⿰	亻	反
239	仯	GTJKP	⿰	亻	少
240	仰	GHTJKPV	⿰	亻	卬
241	仱	GHTJK	⿰	亻	今
242	仲	GHTJKPV	⿰	亻	中
243	仳	GHTJKP	⿰	亻	比
244	仴	GHT	⿰	亻	月
245	仵	GHTJKP	⿰	亻	午
246	件	GHTJKPV	⿰	亻	牛
247	价	GHTJKPV	⿰	亻	介
248	仸	GHT	⿰	亻	夭
249	仹	GT	⿰	亻	丰
250	仺	GT	⿱	𠆢	𰀄
251	任	GHTJKPV	⿰	亻	壬
252	仼	GT	⿰	亻	王
253	份	GHTJKPV	⿰	亻	分
254	仾	GTJP	⿰	亻	互
255	仿	GHTJKPV	⿰	亻	方
256	伀	GHTJKP	⿰	亻	公
257	企	GHTJKPV	⿱	𠆢	止
258	伂	GHTJP	⿰	亻	巿
258	伂	K	⿰	亻	市
259	伃	GHTJKP	⿰	亻	予
260	伄	GHT	⿰	亻	弔
261	伅	GHTKP	⿰	亻	屯
262	伆	GT	⿰	亻	勿
263	伇	GTP	⿰	亻	殳
264	伈	GHTJKP	⿰	亻	心
265	伉	GHTJKP	⿰	亻	亢
266	伊	GHTJKPV	⿰	亻	尹
267	伋	GHTJKP	⿰	亻	及
268	伌	GTJP	⿰	亻	厄
269	伍	GHTJKPV	⿰	亻	五
270	伎	GHTJKPV	⿰	亻	支
271	伏	GHTJKPV	⿰	亻	犬
272	伐	GHTJKPV	⿰	亻	戈
273	休	GHTJKPV	⿰	亻	木
274	伒	GHTJK	⿰	亻	斤
275	伓	GHT	⿰	亻	不
276	伔	GHTP	⿰	亻	冗
277	伕	GHTJKP	⿰	亻	夫
278	伖	GTJ	⿰	亻	友
279	众	GHTJKP	⿱	人	从
280	优	GHTK	⿰	亻	尤
281	伙	GHTJKP	⿰	亻	火
282	会	GHTJKPV	⿱	？	𠫔
282	会	X	⿱	𠆢	云
283	伛	GTP	⿰	亻	区
284	伜	GTJKP	⿰	亻	卆
285	伝	GHTJKP	⿰	亻	云
287	伟	G	⿰	亻	韦
288	传	G	⿰	亻	专
289	伡	G	⿰	亻	车
290	伢	GHT	⿰	亻	牙
291	伣	G	⿰	亻	见
292	伤	G	⿰	亻	𱐩
293	伥	G	⿰	亻	长
294	伦	G	⿰	亻	仑
295	伧	G	⿰	亻	仓
296	伨	G	⿰	亻	匀
296	伨	HT	⿰	亻	勻
297	伩	GHTKPV	⿰	亻	文
298	伪	G	⿰	亻	为
299	伫	G	⿰	亻	㝉
300	伬	GHT	⿰	亻	尺
301	伭	GHTP	⿰	亻	玄
302	伮	GTJPV	⿰	亻	奴
303	伯	GHTJKPV	⿰	亻	白
304	估	GHTJKP	⿰	亻	古
305	伱	GTJKP	⿰	亻	尒
306	伲	GHTKPV	⿰	亻	尼
307	伳	GHTJKP	⿰	亻	世
308	伴	GHTJKPV	⿰	亻	半
309	伵	GTKV	⿰	亻	四
310	伶	GHTJKV	⿰	亻	令
311	伷	GHTJKP	⿰	亻	由
312	伸	GHTJKP	⿰	亻	申
313	伹	GHTJP	⿰	亻	且
314	伺	GHTJKP	⿰	亻	司
315	伻	GHTJKP	⿰	亻	平
316	似	GHTJKPV	⿰	亻	以
317	伽	GHTJKPV	⿰	亻	加
318	伾	GHTJKP	⿰	亻	丕
319	伿	GHTKP	⿰	亻	只
320	佀	GMJKP	⿰	亻	㠯
321	佁	GHTKP	⿰	亻	台
322	佂	GHTJKP	⿰	亻	正
323	佃	GHTJKPV	⿰	亻	田
324	佄	GT	⿰	亻	甘
325	佅	GHT	⿰	亻	未
326	但	GHTJKPV	⿰	亻	旦
327	佇	GHTJKP	⿰	亻	宁
328	佈	GHTJKPV	⿰	亻	布
329	佉	GHTJKP	⿰	亻	去
330	佊	GTKPVU	⿰	亻	皮
331	佋	GHTJKP	⿰	亻	召
332	佌	GHTJKP	⿰	亻	此
333	位	GHTJKPV	⿰	亻	立
334	低	GHTJKPV	⿰	亻	氐
335	住	GHTJKPV	⿰	亻	主
336	佐	GHTJKPV	⿰	亻	左
337	佑	GHTJKP	⿰	亻	右
338	佒	GHTJKP	⿰	亻	央
339	体	GHTJKPV	⿰	亻	本
340	佔	GHTJKP	⿰	亻	占
341	何	GHTJKPV	⿰	亻	可
342	佖	GHTJKP	⿰	亻	必
343	佗	GHTJKP	⿰	亻	它
344	佘	GHTJKP	⿱	𠆢	示
344	佘	X	⿱	？	𡭕
345	余	X	⿱	？	朩
346	佚	GHTJKPV	⿰	亻	失
347	佛	GHTJKPV	⿰	亻	弗
348	作	GHTJKPV	⿰	亻	乍
349	佝	GHTJKP	⿰	亻	句
350	佞	GHTJKPV	⿰	亻	𡚬
351	佟	GHTJKP	⿰	亻	冬
352	你	GHTJKPV	⿰	亻	尔
352	你	Z	⿰	亻	尓
353	佡	GHTP	⿰	亻	仚
354	佢	GHT	⿰	亻	巨
355	佣	GHTJK	⿰	亻	用
356	佤	GHTJ	⿰	亻	瓦
358	佦	GT	⿰	亻	石
359	佧	GHT	⿰	亻	卡
360	佨	GT	⿰	亻	包
361	佩	GHTJKP	⿰	亻	𫥞
362	佪	GHTJKP	⿰	亻	回
363	佫	GHTKP	⿰	亻	各
364	佬	GHTJKP	⿰	亻	老
365	佭	GT	⿰	亻	夅
366	佮	GHTJKP	⿰	亻	合
367	佯	GHTJKP	⿰	亻	羊
368	佰	GHTJKP	⿰	亻	百
369	佱	GTJ	⿱	？	正
369	佱	X	⿱	𠆢	㱏
370	佲	GHT	⿰	亻	名
371	佳	GHTJKPV	⿰	亻	圭
